Nombre,3DS,PC,PS3,PSP,PSV,X360,PS4,XOne,Año,Genero-Editorial,Unnamed2,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,,,PS3,,,,,,2016,Misc-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,,,PS3,,,,,,2015,Misc-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,,,PS3,,,,,,2015,Adventure-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,,,PS3,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,02",0,"0,02"
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,,,,,PSV,,,,2015,Role-Playing-Experience Inc.,,0,0,"0,04",0,"0,04"
Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,,,,,PSV,,,,2015,Adventure-dramatic create,,0,0,"0,02",0,"0,02"
Tropico 5,,,,,,,PS4,,2015,Simulation-Kalypso Media,,"0,05","0,16","0,05","0,04","0,3"
Transformers: Devastation,,,,,,,PS4,,2015,Action-Activision,,"0,1","0,08",0,"0,04","0,22"
Transformers: Devastation,,,,,,,,XOne,2015,Action-Activision,,"0,09","0,03",0,"0,01","0,13"
Transformers: Devastation,,,PS3,,,,,,2015,Action-Activision,,"0,03","0,07",0,"0,02","0,11"
Transformers: Devastation,,,,,,X360,,,2015,Action-Activision,,"0,06","0,02",0,"0,01","0,09"
Transformers: Devastation,,PC,,,,,,,2015,Action-Activision,,0,"0,03",0,0,"0,03"
Train Simulator 2016,,PC,,,,,,,2015,Simulation-Unknown,,0,"0,04",0,0,"0,04"
TrackMania Turbo,,,,,,,PS4,,2016,Action-Ubisoft,,"0,03","0,24",0,"0,05","0,32"
TrackMania Turbo,,,,,,,,XOne,2016,Action-Ubisoft,,"0,02","0,03",0,0,"0,06"
TrackMania Turbo,,PC,,,,,,,2016,Action-Ubisoft,,0,"0,01",0,0,"0,01"
Toy Soldiers: War Chest,,,,,,,PS4,,2015,Action-Ubisoft,,"0,06",0,0,"0,01","0,07"
Toy Soldiers: War Chest,,,,,,,,XOne,2015,Action-Ubisoft,,"0,05",0,0,"0,01","0,05"
Toukiden Kiwami,,,,,,,PS4,,2015,Action-Tecmo Koei,,"0,05","0,07","0,02","0,02","0,17"
Toukiden 2,,,,,PSV,,,,2016,Action-Tecmo Koei,,0,0,"0,11",0,"0,11"
Toukiden 2,,,,,,,PS4,,2016,Action-Tecmo Koei,,0,0,"0,08",0,"0,08"
Toukiden 2,,,PS3,,,,,,2016,Action-Tecmo Koei,,0,0,"0,02",0,"0,02"
Touhou Genso Rondo: Bullet Ballet,,,,,,,PS4,,2016,Shooter-Nippon Ichi Software,,"0,01",0,0,0,"0,02"
Touhou Genso Rondo: Bullet Ballet,,,,,,,PS4,,2016,Shooter-Nippon Ichi Software,,"0,01",0,0,0,"0,02"
Total War: WARHAMMER,,PC,,,,,,,2016,Strategy-Sega,,0,"0,1",0,"0,01","0,1"
Total War: Attila,,PC,,,,,,,2015,Strategy-Sega,,"0,09","0,13",0,"0,02","0,23"
Total War Attila: Tyrants & Kings,,PC,,,,,,,2016,Strategy-Koch Media,,0,"0,01",0,0,"0,01"
Tony Hawk's Pro Skater 5,,,,,,,PS4,,2015,Sports-Activision,,"0,09","0,08",0,"0,03","0,2"
Tony Hawk's Pro Skater 5,,,,,,,,XOne,2015,Sports-Activision,,"0,08","0,02",0,"0,01","0,11"
Tony Hawk's Pro Skater 5,,,,,,X360,,,2015,Sports-Activision,,"0,06",0,0,"0,01","0,07"
Tony Hawk's Pro Skater 5,,,PS3,,,,,,2015,Sports-Activision,,"0,04",0,0,"0,01","0,06"
Tom Clancy's The Division,,,,,,,PS4,,2016,Shooter-Ubisoft,,"1,28","1,61","0,15","0,57","3,61"
Tom Clancy's The Division,,,,,,,,XOne,2016,Shooter-Ubisoft,,"1,2","0,62",0,"0,18","2,01"
Tom Clancy's The Division,,PC,,,,,,,2016,Shooter-Ubisoft,,"0,2","0,14",0,"0,03","0,37"
Tom Clancy's Rainbow Six: Siege,,,,,,,PS4,,2015,Shooter-Ubisoft,,"0,54","1,16","0,13","0,32","2,15"
Tom Clancy's Rainbow Six: Siege,,,,,,,,XOne,2015,Shooter-Ubisoft,,"0,73","0,44",0,"0,12","1,29"
Tom Clancy's Rainbow Six: Siege,,PC,,,,,,,2015,Shooter-Ubisoft,,"0,12","0,08",0,"0,02","0,22"
Tokyo Xanadu eX+,,,,,,,PS4,,2016,Role-Playing-Nihon Falcom Corporation,,0,0,"0,02",0,"0,02"
Tokyo Xanadu eX+,,,,,,,PS4,,2016,Role-Playing-Nihon Falcom Corporation,,0,0,"0,02",0,"0,02"
Tokyo Xanadu,,,,,PSV,,,,2015,Role-Playing-Nihon Falcom Corporation,,0,0,"0,15",0,"0,15"
Tokyo Ghoul: Jail,,,,,PSV,,,,2015,Racing-Namco Bandai Games,,0,0,"0,05",0,"0,05"
To Love-Ru Trouble: Darkness - True Princess,,,,,PSV,,,,2015,Action-FuRyu,,0,0,"0,02",0,"0,02"
To Heart 2: Dungeon Travelers,,,,,PSV,,,,2015,Adventure-Aqua Plus,,0,0,"0,05",0,"0,05"
Thomas and Friends: Steaming around Sodor,3DS,,,,,,,,2015,Action-Avanquest Software,,0,"0,02",0,0,"0,02"
This War of Mine,,,,,,,PS4,,2016,Action-Deep Silver,,0,"0,01",0,0,"0,02"
Theatrhythm Dragon Quest,3DS,,,,,,,,2015,Misc-Square Enix,,0,0,"0,15",0,"0,15"
The Witcher 3: Wild Hunt,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,"0,96",2,"0,21","0,56","3,73"
The Witcher 3: Wild Hunt,,,,,,,,XOne,2015,Role-Playing-Namco Bandai Games,,"0,66","0,47",0,"0,11","1,24"
The Witcher 3: Wild Hunt,,PC,,,,,,,2015,Role-Playing-Namco Bandai Games,,"0,2","0,42",0,"0,05","0,67"
The Witch and the Hundred Knight,,,,,,,PS4,,2015,Role-Playing-Nippon Ichi Software,,"0,02","0,01","0,05","0,01","0,08"
The Technomancer,,,,,,,PS4,,2016,Role-Playing-Focus Home Interactive,,"0,01","0,03",0,"0,01","0,05"
The Technomancer,,,,,,,,XOne,2016,Role-Playing-Focus Home Interactive,,"0,01","0,01",0,0,"0,02"
The Technomancer,,PC,,,,,,,2016,Role-Playing-Focus Home Interactive,,0,"0,01",0,0,"0,01"
The Talos Principle,,,,,,,PS4,,2015,Puzzle-Devolver Digital,,0,"0,02",0,0,"0,02"
The Sims 4: Spa Day,,PC,,,,,,,2015,Simulation-Electronic Arts,,0,"0,04",0,0,"0,04"
The Sims 4: Luxury Party Stuff,,PC,,,,,,,2015,Simulation-Electronic Arts,,0,"0,01",0,0,"0,02"
The Sims 4: Get Together,,PC,,,,,,,2015,Simulation-Electronic Arts,,"0,05","0,13",0,"0,01","0,19"
The Seven Deadly Sins: Unjust Sin,3DS,,,,,,,,2015,Adventure-Namco Bandai Games,,0,0,"0,08",0,"0,08"
The Peanuts Movie: Snoopy's Grand Adventure,3DS,,,,,,,,2015,Action-Activision,,0,"0,03",0,0,"0,03"
The Peanuts Movie: Snoopy's Grand Adventure,,,,,,,PS4,,2015,Action-Activision,,0,"0,02",0,0,"0,03"
The Peanuts Movie: Snoopy's Grand Adventure,,,,,,X360,,,2015,Action-Activision,,0,"0,02",0,0,"0,03"
The Order: 1886,,,,,,,PS4,,2015,Shooter-Sony Computer Entertainment,,"0,61","0,78","0,06","0,27","1,72"
The Legend of Zelda: Tri Force Heroes,3DS,,,,,,,,2015,Action-Nintendo,,"0,52","0,33","0,17","0,08","1,1"
The Legend of Zelda: Tri Force Heroes,3DS,,,,,,,,2015,Action-Nintendo,,"0,52","0,33","0,17","0,08","1,1"
The Legend of Zelda: Majora's Mask 3D,3DS,,,,,,,,2015,Action-Nintendo,,"1,14","0,54","0,47","0,17","2,32"
The Legend of Legacy,3DS,,,,,,,,2015,Role-Playing-FuRyu,,"0,11","0,02","0,1","0,01","0,25"
The Legend of Heroes: Trails in the Sky Third Chapter,,,,,PSV,,,,2016,Role-Playing-Nihon Falcom Corporation,,0,0,"0,02",0,"0,02"
The Legend of Heroes: Trails in the Sky SC Evolution,,,,,PSV,,,,2015,Role-Playing-Kadokawa Games,,0,0,"0,03",0,"0,03"
The Legend of Heroes: Trails in the Sky First Chapter,,,,,PSV,,,,2015,Role-Playing-Kadokawa Shoten,,0,0,"0,07",0,"0,07"
The King of Fighters XIV,,,,,,,PS4,,2016,Fighting-Deep Silver,,"0,04","0,01","0,03","0,01","0,09"
The Idolmaster: Platinum Stars,,,,,,,PS4,,2016,Simulation-Namco Bandai Games,,0,0,"0,09",0,"0,09"
The Idolm@ster: Must Songs - Red Board / Blue Board,,,,,PSV,,,,2015,Misc-Namco Bandai Games,,0,0,"0,04",0,"0,04"
The Heavy Rain and Beyond: Two Souls Collection,,,,,,,PS4,,2016,Action-Sony Computer Entertainment,,0,"0,16",0,"0,03","0,19"
The Great Mystery Hidden Object Package 5,,PC,,,,,,,2015,Adventure-Rondomedia,,0,"0,03",0,0,"0,03"
The Elder Scrolls Online,,,,,,,PS4,,2015,Role-Playing-Bethesda Softworks,,"0,66","0,78",0,"0,28","1,72"
The Elder Scrolls Online,,,,,,,,XOne,2015,Role-Playing-Bethesda Softworks,,"0,77","0,38",0,"0,12","1,27"
The Crew: Wild Run,,,,,,,PS4,,2015,Action-Ubisoft,,0,"0,08",0,"0,01","0,09"
The Crew: Wild Run,,PC,,,,,,,2015,Action-Ubisoft,,0,"0,02",0,0,"0,02"
The Crew: Wild Run,,,,,,,,XOne,2015,Action-Ubisoft,,0,"0,02",0,0,"0,02"
The Book of Unwritten Tales 2,,,,,,,PS4,,2015,Adventure-Nordic Games,,0,"0,06",0,"0,01","0,07"
Teslagrad,,,,,PSV,,,,2015,Platform-Rain Games,,0,"0,01",0,0,"0,01"
Terraria,3DS,,,,,,,,2016,Action-505 Games,,0,"0,03","0,04",0,"0,08"
Teenage Mutant Ninja Turtles: Mutants in Manhattan,,,,,,,PS4,,2016,Action-Activision,,"0,04","0,02",0,"0,01","0,07"
Teenage Mutant Ninja Turtles: Mutants in Manhattan,,,PS3,,,,,,2016,Action-Activision,,"0,01","0,03",0,"0,01","0,05"
Teenage Mutant Ninja Turtles: Mutants in Manhattan,,,,,,,,XOne,2016,Action-Activision,,"0,02","0,01",0,0,"0,03"
Teenage Mutant Ninja Turtles: Mutants in Manhattan,,,,,,X360,,,2016,Action-Activision,,"0,01","0,02",0,0,"0,03"
Teddy Together,3DS,,,,,,,,2016,Simulation-Nintendo,,0,"0,02",0,0,"0,02"
Teddy Together,3DS,,,,,,,,2016,Simulation-Nintendo,,0,"0,02",0,0,"0,02"
Tearaway Unfolded,,,,,,,PS4,,2015,Platform-Sony Computer Entertainment,,"0,09","0,12",0,"0,04","0,25"
Tales of Zestiria,,,PS3,,,,,,2015,Role-Playing-Namco Bandai Games,,"0,05","0,09","0,42","0,03","0,59"
Tales of Zestiria,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,"0,16","0,15","0,02","0,06","0,38"
Tales of Berseria,,,,,,,PS4,,2016,Role-Playing-Namco Bandai Games,,0,0,"0,22",0,"0,22"
Tales of Berseria,,,PS3,,,,,,2016,Role-Playing-Namco Bandai Games,,0,0,"0,11",0,"0,11"
Taishou Moebius Line Vitable,,,,,PSV,,,,2016,Adventure-dramatic create,,0,0,"0,02",0,"0,02"
Taishou Moebius Line Vitable,,,,,PSV,,,,2016,Adventure-dramatic create,,0,0,"0,02",0,"0,02"
Taiko no Tatsujin: V Version,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,0,"0,1",0,"0,1"
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,,,,,,,,2016,Action-Namco Bandai Games,,0,0,"0,09",0,"0,09"
Sword Art Online: Lost Song,,,,,PSV,,,,2015,Role-Playing-Namco Bandai Games,,"0,08","0,1","0,23","0,05","0,46"
Sword Art Online: Lost Song,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,"0,09","0,1",0,"0,04","0,23"
Sword Art Online: Lost Song,,,PS3,,,,,,2015,Role-Playing-Namco Bandai Games,,0,0,"0,1",0,"0,1"
Sword Art Online: Hollow Fragment,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,0,"0,1",0,"0,02","0,12"
Sword Art Online: Game Director's Edition,,,,,,,PS4,,2015,Role-Playing-Namco Bandai Games,,0,0,"0,05",0,"0,05"
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,11",0,"0,11"
Super Robot Wars OG: The Moon Dwellers,,,,,,,PS4,,2016,Misc-Namco Bandai Games,,0,0,"0,09",0,"0,09"
Super Robot Wars OG: The Moon Dwellers,,,PS3,,,,,,2016,Misc-Namco Bandai Games,,0,0,"0,06",0,"0,06"
Super Robot Wars BX,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,13",0,"0,13"
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,,,,,,,,2016,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,,,,,,,,2016,Action-Namco Bandai Games,,0,0,"0,01",0,"0,01"
Summon Night 6: Lost Borders,,,,,PSV,,,,2016,Action-Namco Bandai Games,,0,0,"0,06",0,"0,06"
Summon Night 6: Lost Borders,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Sumikko Gurashi: Omise Hajimerundesu,3DS,,,,,,,,2015,Action-Nippon Columbia,,0,0,"0,14",0,"0,14"
Sumikko Gurashi: Mura o Tsukurundesu,3DS,,,,,,,,2016,Misc-Nippon Columbia,,0,0,"0,06",0,"0,06"
Street Fighter V,,,,,,,PS4,,2016,Fighting-Capcom,,"0,35","0,26","0,08","0,13","0,82"
Street Fighter V,,PC,,,,,,,2016,Fighting-Capcom,,0,"0,05",0,0,"0,05"
Stranger of Sword City,,,,,PSV,,,,2015,Role-Playing-Nippon Ichi Software,,"0,02","0,02",0,"0,01","0,05"
Story of Seasons: Good Friends of the Three Villages,3DS,,,,,,,,2016,Simulation-Marvelous Interactive,,0,0,"0,19",0,"0,19"
Storm Lover 2nd V,,,,,PSV,,,,2016,Adventure-D3Publisher,,0,0,"0,02",0,"0,02"
Storm Lover 2nd V,,,,,PSV,,,,2016,Adventure-D3Publisher,,0,0,"0,02",0,"0,02"
Stellaris,,PC,,,,,,,2016,Strategy-Paradox Interactive,,0,"0,03",0,0,"0,03"
Stella Glow,3DS,,,,,,,,2015,Role-Playing-Atlus,,"0,16","0,01","0,05","0,02","0,24"
Steins;Gate 0,,,,,PSV,,,,2015,Adventure-PQube,,0,0,"0,05",0,"0,05"
Steins;Gate 0,,,,,,,PS4,,2015,Adventure-PQube,,0,0,"0,05",0,"0,05"
Steins;Gate 0,,,PS3,,,,,,2015,Adventure-5pb,,0,0,"0,03",0,"0,03"
State of Decay,,,,,,,,XOne,2015,Strategy-Microsoft Game Studios,,"0,14","0,05",0,"0,02","0,2"
StarCraft II: Legacy of the Void,,PC,,,,,,,2015,Strategy-Activision,,"0,18","0,29",0,"0,04","0,51"
Star Wars Battlefront (2015),,,,,,,PS4,,2015,Shooter-Electronic Arts,,"2,93","3,29","0,22","1,23","7,67"
Star Wars Battlefront (2015),,,,,,,,XOne,2015,Shooter-Electronic Arts,,"1,94","1,22","0,02","0,31","3,49"
Star Wars Battlefront (2015),,PC,,,,,,,2015,Shooter-Electronic Arts,,"0,13","0,37",0,"0,04","0,54"
Star Ocean 5: Integrity and Faithlessness,,,,,,,PS4,,2016,Role-Playing-Square Enix,,"0,06","0,07","0,14","0,02","0,3"
Star Ocean 5: Integrity and Faithlessness,,,PS3,,,,,,2016,Role-Playing-Square Enix,,0,0,"0,04",0,"0,04"
SpongeBob: HeroPants,,,,,,X360,,,2015,Platform-Activision,,"0,08",0,0,"0,01","0,09"
SpongeBob: HeroPants,,,,,PSV,,,,2015,Platform-Activision,,"0,03","0,01",0,"0,01","0,05"
SpongeBob: HeroPants,3DS,,,,,,,,2015,Platform-Activision,,"0,03",0,0,0,"0,03"
Spirits and Demons: 5 Game Pack,,PC,,,,,,,2015,Misc-Focus Multimedia,,0,"0,02",0,0,"0,02"
Space Hulk,,,,,PSV,,,,2015,Strategy-Funbox Media,,0,"0,01",0,0,"0,01"
Sousaku Alice to Oujisama!,3DS,,,,,,,,2015,Simulation-Happinet,,0,0,"0,01",0,"0,01"
Sonic Boom: Fire & Ice,3DS,,,,,,,,2016,Platform-Sega,,"0,03",0,0,0,"0,03"
Song of the Deep,,,,,,,PS4,,2016,Action-Insomniac Games,,"0,05",0,0,"0,01","0,06"
Song of the Deep,,,,,,,,XOne,2016,Action-Insomniac Games,,"0,03",0,0,0,"0,04"
Song of the Deep,,PC,,,,,,,2016,Action-Insomniac Games,,"0,02",0,0,0,"0,02"
Skylanders: SuperChargers,,,,,,X360,,,2015,Action-Activision,,"0,24","0,18",0,"0,04","0,46"
Skylanders: SuperChargers,,,PS3,,,,,,2015,Action-Activision,,"0,15","0,18",0,"0,06","0,39"
Skylanders: SuperChargers,,,,,,,PS4,,2015,Action-Activision,,"0,17","0,08",0,"0,05","0,3"
Skylanders: SuperChargers,,,,,,,,XOne,2015,Action-Activision,,"0,16","0,05",0,"0,02","0,23"
Skylanders: SuperChargers,3DS,,,,,,,,2015,Action-Activision,,"0,05","0,06",0,"0,01","0,11"
Sid Meier's Civilization Revolution 2+,,,,,PSV,,,,2015,Strategy-Take-Two Interactive,,0,0,"0,02",0,"0,02"
Shovel Knight,3DS,,,,,,,,2015,Platform-Yacht Club Games,,"0,07","0,04","0,01","0,01","0,13"
